"itempicture",Name,Unit Price,"TotalQuantity",Quantity Florida,"QuantityNew Jersey","***PAINTED ITEMSFlyDeltaKaleido LowKaleido HighCobraLuckyBobinoThalis","NYC COBRA HAS MIDDLE(STRAIGHT PIECE)FLORIDA HAS CORNER AS AMIDDLE PIECE",item,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Total,Unnamed: 4,Unnamed: 5,Quantity,Unnamed: 6,***PAINTED ITEMS
,magenta skirt,,,,,,,,,,,,,,,,,
,light pink blush,,,,,,,,,,,,,,,,,
,orange skirt,,,,,,,,,,,,,,,,,
,navy blue skirt,,,,,,,,,,,,,,,,,
,lime green skirt,,,,,,,,,,,,,,,,,
,black skirt,,,,,,,,,,,,,,,,,
,aqua skirt,,,,,,,,,,,,,,,,,
,nefertiti gold,$           225.00,41.0,26.0,15.0,,,,,,,,,,,,,
,nefertiti silver,$          225.00,22.0,10.0,12.0,,,,,,,,,,,,,
,skirt lilac,$             50.00,20.0,10.0,10.0,,,,,,,,,,,,,
,skirt aqua blue,$             50.00,20.0,10.0,10.0,,,,,,,,,,,,,
,skirt green,$             50.00,18.0,10.0,8.0,,,,,,,,,,,,,
,skirt pink,$             50.00,10.0,10.0,0.0,,,,,,,,,,,,,
,skirt black,$             50.00,20.0,10.0,10.0,,,,,,,,,,,,,
,kyoto gold frame,$           250.00,70.0,40.0,30.0,,,,,,,,,,,,,
,kyoto silver frame,$          250.00,70.0,40.0,30.0,,,,,,,,,,,,,
,gold top,$           250.00,70.0,40.0,30.0,,,,,,,,,,,,,
,silver top,$           250.00,70.0,40.0,30.0,,,,,,,,,,,,,
,black top,$           250.00,70.0,40.0,30.0,,,,,,,,,,,,,
,white top,$          250.00,70.0,40.0,30.0,,,,,,,,,,,,,
,eiffel,$           195.00,41.0,17.0,24.0,,,,,,,,,,,,,
,dot,$          216.00,18.0,8.0,10.0,,,,,,,,,,,,,
,opus garden,$           250.00,16.0,10.0,6.0,,,,,,,,,,,,,
,zumba (sale item),$          250.00,15.0,11.0,4.0,,,,,,,,,,,,,
,saloon (sale item),$          250.00,27.0,27.0,0.0,,,,,,,,,,,,,
,cage high table,$          250.00,37.0,15.0,22.0,,,,,,,,,,,,,
,bourbon,$          220.00,38.0,13.0,25.0,,,,,,,,,,,,,
,tipi,$           220.00,13.0,11.0,2.0,,,,,,,,,,,,,
,jenga high,$           420.00,12.0,4.0,8.0,,,,,,,,,,,,,
,moma wood,$          250.00,65.0,36.0,29.0,,,,,,,,,,,,,
,velo table,$          450.00,1.0,0.0,1.0,,,,,,,,,,,,,
,wing desk,$          420.00,1.0,1.0,0.0,,,,,,,,,,,,,
,Side tables/Coffee tables,,,,,,,,,,,,,,,,,
,Espresso,$           120.00,17.0,2.0,15.0,,,,,,,,,,,,,
,regatta,$           120.00,23.0,18.0,5.0,,,,,,,,,,,,,
,Gyza silver,$          120.00,24.0,12.0,12.0,,,,,,,,,,,,,
,Gyza gold,$          120.00,38.0,20.0,18.0,,,,,,,,,,,,,
,Buck Gold,$           100.00,57.0,41.0,16.0,,,,,,,,,,,,,
,Buck Silver,$          100.00,64.0,49.0,19.0,,,,,,,,,,,,,
,Buck Custom color,$           100.00,35.0,19.0,16.0,,,,,,,,,,,,,
,Martini,$          120.00,30.0,18.0,12.0,,,,,,,,,,,,,
,magic mushroom orange,$           250.00,11.0,7.0,4.0,,,,,,,,,,,,,
,magic mushroom pink,$           250.00,8.0,4.0,4.0,,,,,,,,,,,,,
,magic mushroom red,$          250.00,12.0,4.0,8.0,,,,,,,,,,,,,
,magic mushroom blue,$           250.00,9.0,5.0,4.0,,,,,,,,,,,,,
,magic mushroom green,$          250.00,10.0,6.0,4.0,,,,,,,,,,,,,
